exp,regime,N,f,T,b,advantage
A,naif,50,0.1,1,,-2.7755575615628914e-17
A,naif,500,0.1,1,,-2.7755575615628914e-17
A,naif,5000,0.1,1,,-2.7755575615628914e-17
A,naif,50000,0.1,1,,-2.7755575615628914e-17
A,naif,50,0.1,10,,0.5513215599
A,naif,500,0.1,10,,0.5513215599
A,naif,5000,0.1,10,,0.5513215599
A,naif,50000,0.1,10,,0.5513215599
A,naif,50,0.1,100,,0.8999734386011125
A,naif,500,0.1,100,,0.8999734386011125
A,naif,5000,0.1,100,,0.8999734386011125
A,naif,50000,0.1,100,,0.8999734386011125
A,naif,50,0.1,1000,,0.9
A,naif,500,0.1,1000,,0.9
A,naif,5000,0.1,1000,,0.9
A,naif,50000,0.1,1000,,0.9
A,naif,50,0.1,10000,,0.9
A,naif,500,0.1,10000,,0.9
A,naif,5000,0.1,10000,,0.9
A,naif,50000,0.1,10000,,0.9
A,naif,50,0.1,1000000,,0.9
A,naif,500,0.1,1000000,,0.9
A,naif,5000,0.1,1000000,,0.9
A,naif,50000,0.1,1000000,,0.9
B,temoigne,,0.1,,0,-2.7755575615628914e-17
B,temoigne,,0.1,,1,0.08999999999999994
B,temoigne,,0.1,,2,0.1709999999999999
B,temoigne,,0.1,,5,0.36855899999999997
B,temoigne,,0.1,,10,0.58618940391
C,temoigne,100,0.05,,1,0.04750000000000003
C,temoigne,1000,0.005,,1,0.004974999999999956
C,temoigne,10000,0.0005,,1,0.0004997499999998549
C,temoigne,100000,5e-05,,1,4.999750000000418e-05
C,temoigne,100,0.5,,1,0.25
C,temoigne,1000,0.05,,1,0.04750000000000003
C,temoigne,10000,0.005,,1,0.004974999999999956
C,temoigne,100000,0.0005,,1,0.0004997499999998549
D,temoigne,any,0.01,,1,0.009900000000000029
D,temoigne,any,0.05,,1,0.04750000000000003
D,temoigne,any,0.1,,1,0.08999999999999994
D,temoigne,any,0.2,,1,0.15999999999999986
